2026-05-05T12:16:19+00:00 | 18/3057 | ministerium_form | scraped="Ministerin Kinder, Jugend, Familie, Gleichstellung, Flüchtlinge und Integration"
2026-05-05T12:16:19+00:00 | 18/3379 | ministerium_form | scraped="Ministerin Heimat, Kommunales, Bau und Digitalisierung Scharrenbach"
2026-05-05T12:16:19+00:00 | 18/3395 | ministerium_form | scraped="Ministerin Kinder, Jugend, Familie, Gleichstellung, Flucht und Integration und Ministerin für Heimat, Kommunales, Bau und Digitalisierung"
2026-05-05T12:16:19+00:00 | 18/4082 | ministerium_form | scraped="Minister Umwelt, Naturschutz und Verbraucherschutz"
2026-05-05T12:16:19+00:00 | 18/4844 | ministerium_form | scraped="Minister Arbeit, Gesundheit und Soziales der Ministerin für Schule und Bildung"
2026-05-05T12:16:19+00:00 | 18/4976 | ministerium_form | scraped="Ministerin He3imat, Kommunales, Bau und Digitalisierung"
2026-05-05T12:16:19+00:00 | 18/5145 | ministerium_form | scraped="Ministerin Heimat, Kommunales, Bau und Digitalisierung der Ministerin für Wirtschaft, Industrie, Klimaschutz und Energie"
2026-05-05T12:16:19+00:00 | 18/5782 | ministerium_form | scraped="Minister Arbeit, Gesundheit und Soziales ha die Kleine Anfrage 2313 mit Schreiben vom 6. September 2023"
2026-05-05T12:16:19+00:00 | 18/6061 | ministerium_form | scraped="Ministerium Arbeit, Gesundheit und Soziales teilte am 27. August mit, dass das Bewilligungsverfahren zum Krankenhauszukunftsfonds für Nordrhein-Westfalen abgeschlossen ist. Demnach wurden Fördermittel in Höhe von 892,2 Millionen Euro an 272 Krankenhäuser in NRW ausgezahlt. Etwa 70 Prozent sind durch die Europäische Union refinanzierte Bundesmittel. Nordrhein-Westfalen steckt mitten in einem tiefgreifenden Umstrukturierungsprozess der Krankenhauslandschaft. In sehr vielen Punkten konnten die bisherigen Verhandlungen zwischen Krankenhausträgern und Krankenversicherungen nicht im Konsens beendet werden. Die Bezirksregierungen und das Gesundheitsministerium"
2026-05-05T12:16:19+00:00 | 18/6410 | ministerium_form | scraped="Ministerium Schule und Bildung teilte am 18. Juni 2023 mit, dass das Projekt mit der Erweiterung des Erlasses nun die Grundlage für einen Einsatz von Alltagshelferinnen und Alltagshelfern an Förderschulen möglich sei.2 Die Ministerin für Schule und Bildung"
2026-05-05T12:16:19+00:00 | 18/9495 | ministerium_form | scraped="Ministerin Heimat, Kommunales, Bau und Digitalisierung mit Schreiben vom 3. Juni 2024"
2026-05-05T12:16:19+00:00 | 18/9496 | ministerium_form | scraped="Minister Umwelt, Naturschutz und Verkehr mit Schreiben vom 3. Juni 2024"
2026-05-05T12:16:19+00:00 | 18/9550 | ministerium_form | scraped="Ministerin Heimat, Kommunales, Bau und Digitalisierung mit Schreiben vom 7. Juni 2024"
2026-05-05T12:16:19+00:00 | 18/9676 | ministerium_form | scraped="Minister Justiz mit Schreiben vom 21. Juni 2024"
2026-05-05T12:16:19+00:00 | 18/10340 | ministerium_form | scraped="Ministerium Wirtschaft, Industrie, Klimaschutz und Energie des Landes NRW fördert laut Haushaltsplan 2024 aus dem Kapitel 14 300 „Klimaschutz und Energiewende“ in Titelgruppe 64 unter anderem ausgewählte Klimaschutz-Bildungsprojekte. Der Ansatz beläuft sich für das Haushaltsjahr 2024 auf 9,75 Mio. Euro. Das Ist-Ergebnis für das Jahr 2022 weist Ausgaben von lediglich 601 Tsd. Euro auf bei einem damaligen Ansatz von 3,35 Mio. Euro. Die Ministerin für Wirtschaft, Klima, Industrie und Energie"
2026-05-05T12:16:20+00:00 | 18/10919 | ministerium_form | scraped="Ministerin Kinder, Jugend, Familie, Gleichstellung, Flucht und Integration hatte die Kleine Anfrage 2457 des Abgeordneten Andreas Keith mit Schreiben vom 5. Oktober 2023 (Drs. 18/6252) im Wesentlichen damit"
2026-05-05T12:16:20+00:00 | 18/10982 | ministerium_form | scraped="Minister Bundes- und Europaangeleigenheiten, Internationales sowie Medien und Chef der Staatskanzlei"
2026-05-05T12:16:20+00:00 | 18/11375 | ministerium_form | scraped="Minister Bundes- und Europaangelegenheiten, Internationales sowie Medien und Chef der Staatskanzleiwie"
2026-05-05T12:16:20+00:00 | 18/12044 | ministerium_form | scraped="Ministerium Kultur und Wissenschaft schreibt auf ihrer Internetseite deshalb zurecht: „Die universitären Fachbereiche Medizin und die Universitätskliniken im Land Nordrhein-Westfalen sind Orte herausragender Forschung, Lehre und Krankenversorgung“1. Die Ministerin für Kultur und Wissenschaft"
2026-05-05T12:16:20+00:00 | 18/12322 | ministerium_form | scraped="Ministerin Kinder, Jugendliche, Familie, Gleichstellung, Flucht und Integration"
2026-05-05T12:16:20+00:00 | 18/12327 | ministerium_form | scraped="Minister Innern, Ministerin für Schule und Bildung"
2026-05-05T12:16:20+00:00 | 18/13075 | ministerium_form | scraped="Minister Bundes- und Europaanagelegenheiten, Internationales sowie Medien und Chef der Staatskanzlei"
2026-05-05T12:16:20+00:00 | 18/13583 | ministerium_form | scraped="Ministerin Wirtschaft, Industrie, Klimaschutz und Energie und Ministerin für Kultur und Wissenschaft"
2026-05-05T12:16:20+00:00 | 18/13930 | ministerium_form | scraped="Minister Justiz h at die Kleine Anfrage 5452 mit Schreiben vom 21. Mai 2025"
2026-05-05T12:16:20+00:00 | 18/13931 | ministerium_form | scraped="Minister Justiz h at die Kleine Anfrage 5465 mit Schreiben vom 21. Mai 2025"
2026-05-05T12:16:20+00:00 | 18/13935 | ministerium_form | scraped="Minister Justiz h at die Kleine Anfrage 5431 mit Schreiben vom 22. Mai 2025"
2026-05-05T12:16:20+00:00 | 18/14249 | ministerium_form | scraped="Ministerium Arbeit, Gesundheit und Soziales NRW war an diesen erfolglosen Gesprächen beteiligt. Der Minister für Arbeit, Gesundheit und Soziales"
2026-05-05T12:16:20+00:00 | 18/14699 | ministerium_form | scraped="Ministerin Kinder, Jungend, Familie, Gleichstellung, Flucht und Integration"
2026-05-05T12:16:20+00:00 | 18/14740 | ministerium_form | scraped="Ministerin Kultur und Wissenschaft Ina Brandes gab ihrer Einschätzung der geförderten Tanz-Ensembles"
2026-05-05T12:16:20+00:00 | 18/15056 | ministerium_form | scraped="Ministerin Ministeriums für Heimat, Kommunales, Bau und Digitalisierung"
2026-05-05T12:16:20+00:00 | 18/15338 | ministerium_form | scraped="Ministerin Ministeriums für Kultur und Wissenschaft"
2026-05-05T12:16:20+00:00 | 18/15889 | ministerium_form | scraped="Minister Justiz ha die Kleine Anfrage 6349 mit Schreiben vom 29. September 2025"
2026-05-05T12:16:20+00:00 | 18/16127 | ministerium_form | scraped="Minister UImwelt, Naturschutz und Verkehr"
2026-05-05T12:16:20+00:00 | 18/17639 | ministerium_form | scraped="Ministerin Kinder, Jugend, Familie, Gleichstellung, Flucht und Integration die Kleine Anfrage 6892 mit Schreiben vom 2. Februar 2026"
2026-05-05T12:16:20+00:00 | 18/18490 | ministerium_form | scraped="Ministerin Heimat, Kommunales, Bau und Digitalisierung sowie wie dem Minister für Umwelt, Naturschutz und Verkehr"
2026-05-05T12:16:25+00:00 | 17/9092 | ministerium_kuerzel | scraped="MWEIMH"
2026-05-05T12:16:25+00:00 | 17/9967 | ministerium_kuerzel | scraped="AWEL"
